MODULE,SOURCE_FILE,SQL_OPERATION,TABLE
HR,emp_r1.pbd,SELECT,hr_permissions
HR,emp_r1.pbd,SELECT,hr_permissions
HR,emp_r1.pbd,SELECT,dummy
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,weekly_daysoff
HR,emp_r1.pbd,SELECT,weekly_daysoff
HR,emp_r1.pbd,SELECT,weekly_daysoff
HR,emp_r1.pbd,SELECT,weekly_daysoff
HR,emp_r1.pbd,UPDATE,hr_global_parms
HR,emp_r1.pbd,SELECT,hr_global_parms
HR,emp_r1.pbd,SELECT,dummy
HR,emp_r1.pbd,SELECT,dummy
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,hr
HR,emp_r1.pbd,SELECT,䅄
HR,emp_r1.pbd,SELECT,weekly_daysoff
HR,emp_r1.pbd,SELECT,weekly_daysoff
HR,emp_r1.pbd,SELECT,weekly_daysoff
HR,emp_request.pbd,SELECT,emp_lo䅄
HR,emp_request.pbd,SELECT,emp_loan
HR,emp_request.pbd,SELECT,emp_loan
HR,emp_request.pbd,SELECT,emp_loan
HR,emp_request.pbd,SELECT,HR
HR,emp_request.pbd,SELECT,hr
HR,emp_request.pbd,SELECT,hr
HR,emp_request.pbd,SELECT,HR
HR,emp_request.pbd,SELECT,HR
HR,emp_request.pbd,SELECT,hr
HR,emp_request.pbd,SELECT,HR
HR,emp_request.pbd,SELECT,emp_move
HR,emp_request.pbd,SELECT,emp_move
HR,emp_request.pbd,SELECT,hr
HR,emp_request.pbd,SELECT,hr
HR,emp_request.pbd,SELECT,hr
HR,emp_request.pbd,SELECT,emp_loan
HR,emp_request.pbd,DELETE,Date
HR,emp_request.pbd,SELECT,date
HR,emp_request.pbd,SELECT,date
HR,emp_request.pbd,SELECT,emp_move
HR,emp_s1.pbd,SELECT,end_hire_procedures
HR,emp_s1.pbd,SELECT,end_hire_procedures
HR,emp_s1.pbd,SELECT,emp_end_hire_procedures
HR,emp_s1.pbd,SELECT,emp_end_hire_procedures
HR,emp_s1.pbd,SELECT,hr
HR,emp_s1.pbd,SELECT,hr
HR,emp_s1.pbd,SELECT,hr
HR,emp_s1.pbd,SELECT,hr
HR,emp_s1.pbd,SELECT,hr
HR,emp_s1.pbd,SELECT,training_institut
HR,emp_s1.pbd,SELECT,end_hire_procedures
HR,emp_s1.pbd,SELECT,䅄
HR,emp_s2.pbd,SELECT,training_institut
HR,emp_s2.pbd,SELECT,training_institut
HR,emp_s2.pbd,SELECT,training_institut
HR,emp_s2.pbd,SELECT,training_institut
HR,emp_s2.pbd,SELECT,training_institut
