TABLE: DBA.ws_InvoiceHeader
ORDER_BY: entry_date
COLUMNS: InvoiceID, CustomerID, EqptID, Receptionist, TimeIn, InvoiceDate, ItemPrice, LaborPrice, LaborDiscount, payment_type, user_id, entry_date, joborder_id, ItemDiscount, InvoiceType, Status, invoiceno, SalesTax, OutServicePrice, OilPrice, DeleteFlag, DeleteUser, DeleteReason, CreateInvoice, DeleteDate, debit_header, oilprice_tax, post_flag, currency_id, service_center, location_id, dicount_amount, LaborDiscount_amount, invoice_nature, consumable, PCustomerID, official_itemprice, sale_itemprice, official_oilprice, sale_oilprice, del_post_flag, oinvoiceno, org_invoiceno, credit_header, stax_value, non_taxable, itemprice_tax, laborprice_tax, outserviceprice_tax, consumable_tax, total_nondisc, addedtax, nonaddedtax_item, nonaddedtax_oil, discount_type, OilDiscount, OilDiscount_amount, invoiceable, chargable, labor_deduct_perc, labor_deduct, sp_deduct_perc, sp_deduct, tb_deduct_perc, tb_deduct, main_brand, salesman_id, manual_number, paint_settl, ei_status, ei_submissionId, ei_uuid, ei_longId, ei_errorText, claim_code, print_date, print_times, print_user, print_pc, store_id, customer_name, customer_mobile, total_value, total_discount, total_tax, total_amount, sc_quotation_id, notes, dp_invoiceid, dp_invoicetype, dp_value, sc_quotation_location_id, dp_location_id, lbr_ptax_percent, sp_ptax_percent, po_no, insurance_settl, cost_post_flag, lbr_ptax_value, sp_ptax_value
ROWS: 10
---
[
  {
    "InvoiceID": "887",
    "CustomerID": "9905042747",
    "EqptID": "9903051763",
    "Receptionist": "reham.k",
    "TimeIn": "17:49:28",
    "InvoiceDate": "2025-12-22",
    "ItemPrice": 410,
    "LaborPrice": 1371.9,
    "LaborDiscount": 49,
    "payment_type": "C",
    "user_id": "loading.k2",
    "entry_date": "2025-12-22 17:49:28.692000",
    "joborder_id": "1980",
    "ItemDiscount": 5,
    "InvoiceType": 21,
    "Status": "R",
    "invoiceno": 1611,
    "SalesTax": "N",
    "OutServicePrice": 150,
    "OilPrice": 2610,
    "DeleteFlag": "N",
    "DeleteUser": null,
    "DeleteReason": null,
    "CreateInvoice": null,
    "DeleteDate": null,
    "debit_header": 2751,
    "oilprice_tax": 365.4,
